"","name","module","disease","padj_CJD","lFC_CJD","padj_FFI","lFC_FFI"
"3988","Nucb1",2,"neither",NA,NA,NA,NA
"3995","Nudt16l1",2,"neither",NA,NA,NA,NA
"3997","Nudt18",2,"neither",NA,NA,NA,NA
"4006","Numbl",2,"neither",NA,NA,NA,NA
"4009","Nup85",2,"neither",NA,NA,NA,NA
"4016","Nxf1",2,"neither",NA,NA,NA,NA
"4019","Nxph4",2,"neither",NA,NA,NA,NA
"4023","Oaz1",2,"neither",NA,NA,NA,NA
"4024","Oaz2",2,"neither",NA,NA,NA,NA
"4035","Ogfod2",2,"neither",NA,NA,NA,NA
"4041","Olfm2",2,"neither",NA,NA,NA,NA
"4046","Opa3",2,"neither",NA,NA,NA,NA
"4071","Osgep",2,"neither",NA,NA,NA,NA
"4074","Ost4",2,"neither",NA,NA,NA,NA
"4075","Ostc",2,"neither",NA,NA,NA,NA
"4077","Otub1",2,"neither",NA,NA,NA,NA
"4088","P4hb",2,"neither",NA,NA,NA,NA
"4089","P4htm",2,"neither",NA,NA,NA,NA
"4091","Pabpc1",2,"neither",NA,NA,NA,NA
"4094","Pacsin1",2,"neither",NA,NA,NA,NA
"4100","Pafah1b3",2,"neither",NA,NA,NA,NA
"4101","Pagr1a",2,"neither",NA,NA,NA,NA
"4114","Pam16",2,"neither",NA,NA,NA,NA
"4119","Panx1",2,"neither",NA,NA,NA,NA
"4123","Paqr4",2,"neither",NA,NA,NA,NA
"4125","Paqr7",2,"neither",NA,NA,NA,NA
"4127","Pard6a",2,"neither",NA,NA,NA,NA
"4129","Park7",2,"neither",NA,NA,NA,NA
"4136","Parp6",2,"neither",NA,NA,NA,NA
"4142","Paxx",2,"neither",NA,NA,NA,NA
"4146","Pbx4",2,"neither",NA,NA,NA,NA
"4147","Pcbd2",2,"neither",NA,NA,NA,NA
"4148","Pcbp1",2,"neither",NA,NA,NA,NA
"4157","Pcdh8",2,"neither",NA,NA,NA,NA
"4180","Pcp4",2,"neither",NA,NA,NA,NA
"4182","Pcsk1n",2,"neither",NA,NA,NA,NA
"4186","Pcyox1l",2,"neither",NA,NA,NA,NA
