name,module,lfc_FFI,fdr_FFI,lfc_CJD,fdr_CJD,disease,degree,betweenness
Slc8a1,3,-0.074212307581088,0.745883479614223,-0.0762922223783279,0.659543908584251,neither,NA,NA
Slc8a2,1,-0.221331541898394,0.174079661612887,-0.0965432945480405,0.619460854333924,neither,NA,NA
Slc8a3,1,-0.190236773102894,0.22880620803288,-0.0749224971233668,0.706040242490862,neither,NA,NA
Slc9a1,1,-0.0781684670526437,0.723387774920723,-0.0222033227636653,0.927309657429874,neither,NA,NA
Slc9a3r2,2,0.164637163763031,0.380478079733734,0.0789238048588041,0.691773472933455,neither,NA,NA
Slc9a6,4,0.0363080174771741,0.883471241858539,-0.0355817353506369,0.835035590294488,neither,NA,NA
Slirp,4,0.154029479814859,0.436072156433232,0.0764040114407937,0.702669555097647,neither,NA,NA
Slit1,1,-0.293106961384763,0.101835976299418,-0.107393767033734,0.543637792425452,neither,NA,NA
Slitrk1,1,-0.251084114943651,0.129463027450316,-0.0976311505852275,0.616725358620927,neither,NA,NA
Slitrk3,3,-0.242933981462363,0.145035036551572,-0.214254564501662,0.183525750635434,neither,NA,NA
Slitrk5,3,-0.221141312962626,0.178873867955658,-0.132368916567433,0.456819533183128,neither,NA,NA
Slk,3,-0.265657653076738,0.104241735445807,-0.0897235983422603,0.652562320632091,neither,NA,NA
Slmap,3,-0.118238979939813,0.573627318863769,-0.0416302273831102,0.833497269980626,neither,NA,NA
Sltm,1,-0.161438202257413,0.406960354489674,-0.0541163337313041,0.78657672228862,neither,NA,NA
Slu7,1,-0.192849537096408,0.257705178095012,-0.114552040843937,0.548788649242209,neither,NA,NA
Slx4,1,-0.183665389766968,0.332230728892596,-0.144682291840988,0.419718906042373,neither,NA,NA
Smad3,6,-0.0733451777928594,0.725320016832099,0.0511899205999319,0.8097565967886,neither,NA,NA
Smad4,1,0.00786832899425745,0.978269088084601,0.0024452300412626,0.992122109681393,neither,NA,NA
Smad7,1,-0.11378233340433801,0.589350393990918,-0.0342592707948188,0.869383812315649,neither,NA,NA
Smap1,2,0.118081567066738,0.52798508158312,0.0756891060381599,0.703617579217403,neither,NA,NA
Smap2,2,0.144559192200443,0.415760061913898,0.0449913957222929,0.833497269980626,neither,NA,NA
Smarca2,1,-0.18949435213067,0.262765033913644,-0.0682554043455101,0.730321012554845,neither,586,NA
Smarca4,1,-0.168352840136249,0.387188000054837,-0.0830203966921465,0.667654493972282,neither,NA,NA
Smarca5,3,-0.213962271257522,0.246155212755697,-0.136120775266107,0.433986626827165,neither,NA,NA
Smarcal1,1,-0.129380343174398,0.52797958334598,-0.0170283876503675,0.937556848851643,neither,NA,NA
Smarcb1,2,0.060058429173936,0.799374659426205,0.0357982975422187,0.874943974324821,neither,NA,NA
Smarcc1,1,-0.235716109660973,0.113608427957001,-0.0297150268043731,0.899273372592282,neither,NA,NA
Smarcc2,1,-0.218720179054125,0.187651077387432,-0.10031390143285,0.605229163383297,neither,NA,NA
Smarcd1,1,0.126743214286685,0.487047956914313,0.0635579072587874,0.752802601198516,neither,NA,NA
Smarcd3,2,0.138249305168487,0.495413315907239,0.0693173695491942,0.713488723983473,neither,NA,NA
Smc1a,1,-0.238884688533235,0.160461504380958,-0.142397712907002,0.426718529304088,neither,NA,NA
Smc3,1,-0.412000471073262,0.0110445213123734,-0.171750063889777,0.326295528855783,FFI,NA,NA
Smc5,5,-0.332935973840635,0.0563875069647253,0.0195467939535251,0.83728132526636,neither,NA,NA
Smc6,1,-0.0968541807421664,0.658465883219562,0.0116180003838982,0.961753478033381,neither,NA,NA
Smchd1,5,0.00660010250171078,0.98139659682472,0.0246073583309298,0.912749936365316,neither,NA,NA
Smdt1,2,0.300451741543732,0.0763399559452324,0.162967182652318,0.348059652469977,neither,NA,NA
Smg5,1,-0.151853214572595,0.400210614612586,-0.0244490926314198,0.920932600505146,neither,NA,NA
Smg6,1,-0.196730373035012,0.274562770609366,0.0025039096738332,0.992122109681393,neither,NA,NA
Smg7,1,-0.195879134434227,0.200299646147075,-0.094895972341889,0.608769948536204,neither,NA,NA
Smg9,1,-0.00809364195737811,0.977981194191749,0.0220544117094604,0.920642511180167,neither,NA,NA
Smim1,4,0.0914454715751097,0.678035623614818,0.0395449750701698,0.824445526244726,neither,NA,NA
Smim10l1,4,0.0641015699803455,0.727065609744339,-0.00800991623381932,0.959586171653444,neither,NA,NA
Smim11,NA,0.294268225099105,0.089594337856835,0.18911079141954,0.248920720464162,neither,NA,NA
Smim12,2,0.260055995935709,0.133257732229344,0.0758027945629298,0.693539335564949,neither,NA,NA
Smim13,4,0.0470796657980437,0.849086919923484,-0.025656128354285,0.903219880740835,neither,NA,NA
Smim14,4,0.254321962319726,0.0746000562858127,0.0841678832375522,0.668886254542259,neither,NA,NA
Smim15,4,0.154564322996727,0.423185604521956,-0.0222376959814478,0.913065041251025,neither,NA,NA
Smim17,3,-0.0104173113471193,0.970166746916093,-0.0476286819038024,0.800327859594265,neither,NA,NA
Smim18,4,0.089956588944759,0.684486529624329,-0.0220695189018984,0.910162299981014,neither,NA,NA
Smim19,4,0.221396015216244,0.230712551301483,0.0873222188018038,0.649375686663219,neither,NA,NA
Smim20,2,0.248963202808287,0.166213773852395,0.0974519693011685,0.60265654878425,neither,NA,NA
Smim26,2,0.243296586868433,0.179094023557927,0.0638144963673826,0.748486015145617,neither,NA,NA
Smim8,4,0.236311763149097,0.191198293258663,0.0724445351721551,0.692321082511389,neither,NA,NA
Smndc1,4,0.172043478663252,0.373820755357355,0.0112916856998099,0.959564535773688,neither,NA,NA
Smox,2,0.216932539614428,0.194043908790057,0.0575895979344409,0.774803341385064,neither,NA,NA
Smpd1,2,0.0795087985760838,0.718571688156173,0.043555687020454,0.833251486780018,neither,NA,NA
Smpd2,1,-0.0603977468128597,0.782822341814578,0.0351645907323706,0.863524813757302,neither,NA,NA
Smpd3,1,-0.227894473774282,0.115539963068524,-0.0471511933705401,0.826590240562446,neither,NA,NA
Smpd4,1,-0.0998455316697835,0.646131987459714,0.0689363671446319,0.679746846143822,neither,NA,NA
Sms,3,-0.00999749899037391,0.970268793326634,-0.0320762320535146,0.89000769584683,neither,NA,NA
Smu1,1,-0.147818867304853,0.354135512461451,-0.0831487565262589,0.665027434767301,neither,NA,NA
